职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
智能投放产品经理（小说投放平台）,20-30K·13薪,长沙,芙蓉区,五一广场,3-5年,本科,"['意外险', '底薪加提成', '工龄奖', '节日福利', '全勤奖', '年终奖', '法定节假日三薪', '五险一金', '带薪年假', '零食下午茶']","['C端产品', 'B端产品', '社交产品', '内容产品']",20.0,30.0,1.0833333333333333,27.083333333333332,3,5,5,本科,产品经理,"['意外险', '底薪加提成', '工龄奖', '节日福利', '全勤奖', '年终奖', '法定节假日三薪', '五险一金', '带薪年假', '零食下午茶']","['C端产品', 'B端产品', '社交产品', '内容产品']",10,4,0,0,0
AI人工智能讲师,13-18K,长沙,芙蓉区,五一广场,3-5年,本科,"['五险一金', '年终奖', '有无线网', '加班补助', '绩效奖金', '节日福利', '工龄奖', '全勤奖', '团建聚餐', '保底工资', '生日福利', '节假日加班费', '底薪加提成', '员工旅游', '带薪年假', '法定节假日三薪']","['Java', 'Python', 'C/C++', '计算机相关专业', 'AI', '人工智能']",13.0,18.0,1.0,15.5,3,5,5,本科,AI/算法工程师,"['五险一金', '年终奖', '有无线网', '加班补助', '绩效奖金', '节日福利', '工龄奖', '全勤奖', '团建聚餐', '保底工资', '生日福利', '节假日加班费', '底薪加提成', '员工旅游', '带薪年假', '法定节假日三薪']","['Java', 'Python', 'C/C++', '计算机相关专业', 'AI', '人工智能']",16,6,1,1,0
飞控软件开发工程师,8-13K,长沙,芙蓉区,农科院,3-5年,本科,"['餐补', '全勤奖', '节日福利', '带薪年假', '五险一金', '工龄奖', '年终奖', '定期体检', '员工旅游']","['Java', 'MySQL', '农业社会化', '北斗终端', '无人机', '农机']",8.0,13.0,1.0,10.5,3,5,5,本科,开发工程师,"['餐补', '全勤奖', '节日福利', '带薪年假', '五险一金', '工龄奖', '年终奖', '定期体检', '员工旅游']","['Java', 'MySQL', '农业社会化', '北斗终端', '无人机', '农机']",9,6,0,0,0
供应链数据分析专家,20-35K·13薪,长沙,芙蓉区,马王堆,5-10年,本科,[],"['Hive', '要求数据开发经验', '数据建模经验', '电商/零售行业经验', '非外包类', 'Spark', '数据仓库开发经验', 'Python']",20.0,35.0,1.0833333333333333,29.791666666666664,5,10,5,本科,数据分析/工程师,[],"['Hive', '要求数据开发经验', '数据建模经验', '电商/零售行业经验', '非外包类', 'Spark', '数据仓库开发经验', 'Python']",0,8,0,1,0
C/C++工程师,15-22K,长沙,芙蓉区,马王堆,3-5年,本科,"['加班补助', '团建聚餐', '定期体检', '五险一金', '工龄奖', '绩效奖金', '节日福利']","['C++', 'Linux开发/部署经验', 'Linux']",15.0,22.0,1.0,18.5,3,5,5,本科,开发工程师,"['加班补助', '团建聚餐', '定期体检', '五险一金', '工龄奖', '绩效奖金', '节日福利']","['C++', 'Linux开发/部署经验', 'Linux']",7,3,0,0,0
高级算法工程师,15-30K,长沙,,,经验不限,本科,"['通讯补贴', '年终奖', '节日福利', '意外险', '补充医疗保险', '带薪年假', '定期体检', '交通补助']","['发表算法相关优秀论文', '语音算法', '大模型算法', '自然语言处理算法', '大数据处理框架(Spark/Hadoop/Hive)', '算法工程化经验', '参加算法相关竞赛/获奖', '优秀开源项目经历', 'Python']",15.0,30.0,1.0,22.5,0,0,5,本科,AI/算法工程师,"['通讯补贴', '年终奖', '节日福利', '意外险', '补充医疗保险', '带薪年假', '定期体检', '交通补助']","['发表算法相关优秀论文', '语音算法', '大模型算法', '自然语言处理算法', '大数据处理框架(Spark/Hadoop/Hive)', '算法工程化经验', '参加算法相关竞赛/获奖', '优秀开源项目经历', 'Python']",8,9,1,1,0
Java开发工程师,9-14K,长沙,芙蓉区,马王堆,3-5年,大专,"['五险一金', '通讯补贴', '交通补助', '餐补', '住房补贴', '全勤奖', '带薪年假', '员工旅游', '零食下午茶', '节日福利']","['MVC开发', '服务器配置', 'Spring', 'SVN', 'Maven', 'Oracle']",9.0,14.0,1.0,11.5,3,5,4,大专,开发工程师,"['五险一金', '通讯补贴', '交通补助', '餐补', '住房补贴', '全勤奖', '带薪年假', '员工旅游', '零食下午茶', '节日福利']","['MVC开发', '服务器配置', 'Spring', 'SVN', 'Maven', 'Oracle']",10,6,0,0,0
Java开发工程师,18-35K,长沙,,,3-5年,本科,"['购房福利', '宝宝补贴', '团建聚餐', '生日福利', '零食下午茶', '绩效奖金', '夜班补助', '高温补贴', '带薪年假', '节假日加班费', '加班补助', '意外险', '节日福利']","['后端工程师', 'Java', 'Java开发经验']",18.0,35.0,1.0,26.5,3,5,5,本科,开发工程师,"['购房福利', '宝宝补贴', '团建聚餐', '生日福利', '零食下午茶', '绩效奖金', '夜班补助', '高温补贴', '带薪年假', '节假日加班费', '加班补助', '意外险', '节日福利']","['后端工程师', 'Java', 'Java开发经验']",13,3,0,0,0
云服务开发工程师,15-30K·14薪,长沙,芙蓉区,韭菜园,1-3年,本科,"['节日福利', '团建聚餐', '加班补助', '免费班车', '交通补助', '意外险', '法定节假日三薪', '住房补贴', '补充医疗保险', '绩效奖金', '带薪年假', '员工旅游', '夜班补助', '节假日加班费', '零食下午茶', '保底工资', '定期体检', '生日福利', '五险一金', '年终奖']","['C++', 'C', 'Java', 'Python', 'Linux开发/部署经验', '嵌入式软件经验']",15.0,30.0,1.1666666666666667,26.25,1,3,5,本科,开发工程师,"['节日福利', '团建聚餐', '加班补助', '免费班车', '交通补助', '意外险', '法定节假日三薪', '住房补贴', '补充医疗保险', '绩效奖金', '带薪年假', '员工旅游', '夜班补助', '节假日加班费', '零食下午茶', '保底工资', '定期体检', '生日福利', '五险一金', '年终奖']","['C++', 'C', 'Java', 'Python', 'Linux开发/部署经验', '嵌入式软件经验']",20,6,0,1,0
PLC运行时系统开发工程师,15-28K,长沙,芙蓉区,烈士公园,5-10年,本科,"['员工旅游', '带薪年假', '节日福利', '通讯补贴', '五险一金', '定期体检']","['C', 'Python', 'ethercat', 'Modbus、EtherCAT', 'Profinet、CAN']",15.0,28.0,1.0,21.5,5,10,5,本科,开发工程师,"['员工旅游', '带薪年假', '节日福利', '通讯补贴', '五险一金', '定期体检']","['C', 'Python', 'ethercat', 'Modbus、EtherCAT', 'Profinet、CAN']",6,5,0,1,0
高级代码审计工程师,20-30K·15薪,长沙,芙蓉区,湘湖,1-3年,大专,[],"['Java', 'PHP', 'C/C++', 'Golang', 'Python', '计算机/信息安全相关专业', '攻防对抗经验', '渗透测试经验']",20.0,30.0,1.25,31.25,1,3,4,大专,其他,[],"['Java', 'PHP', 'C/C++', 'Golang', 'Python', '计算机/信息安全相关专业', '攻防对抗经验', '渗透测试经验']",0,8,0,1,0
NLP算法工程师,15-28K,长沙,芙蓉区,张公岭,3-5年,硕士,"['节日福利', '餐补', '五险一金']","['机器学习', '深度学习', '大模型算法', '算法工程化经验', '强化学习', '优秀开源项目经历', 'Python']",15.0,28.0,1.0,21.5,3,5,6,硕士,AI/算法工程师,"['节日福利', '餐补', '五险一金']","['机器学习', '深度学习', '大模型算法', '算法工程化经验', '强化学习', '优秀开源项目经历', 'Python']",3,7,1,1,0
AI大模型算法专家,30-40K·13薪,长沙,,,3-5年,博士,"['交通补助', '带薪年假', '年终奖', '补充医疗保险', '意外险', '定期体检', '通讯补贴', '节日福利']","['大模型算法', '推荐算法', '搜索算法', '语音算法', '语义理解', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '发表算法相关优秀论文', '算法工程化经验', '团队管理经验', '优秀开源项目经历']",30.0,40.0,1.0833333333333333,37.916666666666664,3,5,7,博士,AI/算法工程师,"['交通补助', '带薪年假', '年终奖', '补充医疗保险', '意外险', '定期体检', '通讯补贴', '节日福利']","['大模型算法', '推荐算法', '搜索算法', '语音算法', '语义理解', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '发表算法相关优秀论文', '算法工程化经验', '团队管理经验', '优秀开源项目经历']",8,11,1,1,0
生信分析工程师-空间转录组,10-15K,长沙,芙蓉区,湖南农业大学,1-3年,硕士,"['交通补助', '带薪年假', '定期体检', '包吃', '提供宿舍', '宿舍有空调', '餐补', '股票期权', '高温补贴', '绩效奖金', '年终奖', '通讯补贴', '五险一金', '员工旅游']","['空间转录组', '单细胞转录组']",10.0,15.0,1.0,12.5,1,3,6,硕士,其他,"['交通补助', '带薪年假', '定期体检', '包吃', '提供宿舍', '宿舍有空调', '餐补', '股票期权', '高温补贴', '绩效奖金', '年终奖', '通讯补贴', '五险一金', '员工旅游']","['空间转录组', '单细胞转录组']",14,2,0,0,0
深度学习算法工程师,11-18K,长沙,芙蓉区,火车站,1-3年,本科,['社保'],"['语音算法', 'Java', '211，985院校毕业生', '团队管理经验', '规控算法', '图像算法', '大模型算法', '多模态算法', '算法工程化经验', '其他', '并行计算', '嵌入式开发', 'C/C++', '机器学习', '强化学习', '参加算法相关竞赛/获奖', '模型加速/性能优化', 'Python']",11.0,18.0,1.0,14.5,1,3,5,本科,AI/算法工程师,['社保'],"['语音算法', 'Java', '211，985院校毕业生', '团队管理经验', '规控算法', '图像算法', '大模型算法', '多模态算法', '算法工程化经验', '其他', '并行计算', '嵌入式开发', 'C/C++', '机器学习', '强化学习', '参加算法相关竞赛/获奖', '模型加速/性能优化', 'Python']",1,18,1,1,0
数据分析师（算法）,16-21K·15薪,长沙,芙蓉区,马王堆,5-10年,本科,[],"['回归算法', '机器学习建模经验', '风控识别', '聚类算法', '电商/零售行业数据相关经验']",16.0,21.0,1.25,23.125,5,10,5,本科,AI/算法工程师,[],"['回归算法', '机器学习建模经验', '风控识别', '聚类算法', '电商/零售行业数据相关经验']",0,5,1,0,0
股票量化策略研究员,10-15K,长沙,芙蓉区,定王台,经验不限,本科,"['包吃', '生日福利', '带薪年假', '五险一金', '全勤奖', '节日福利']",['证券从业资格证'],10.0,15.0,1.0,12.5,0,0,5,本科,其他,"['包吃', '生日福利', '带薪年假', '五险一金', '全勤奖', '节日福利']",['证券从业资格证'],6,1,0,0,0
PHP程序员,5-8K,长沙,芙蓉区,马王堆,1-3年,本科,"['五险一金', '20天长假']","['PHP', 'Python', '架构设计经验']",5.0,8.0,1.0,6.5,1,3,5,本科,开发工程师,"['五险一金', '20天长假']","['PHP', 'Python', '架构设计经验']",2,3,0,1,0
ai人工智能工程师,13-18K,长沙,芙蓉区,五一广场,3-5年,本科,"['法定节假日三薪', '生日福利', '加班补助', '团建聚餐', '员工旅游', '带薪年假', '底薪加提成', '节假日加班费', '保底工资', '绩效奖金', '有无线网', '全勤奖', '年终奖', '节日福利', '五险一金', '工龄奖']","['C/C++', 'Java', 'Python']",13.0,18.0,1.0,15.5,3,5,5,本科,AI/算法工程师,"['法定节假日三薪', '生日福利', '加班补助', '团建聚餐', '员工旅游', '带薪年假', '底薪加提成', '节假日加班费', '保底工资', '绩效奖金', '有无线网', '全勤奖', '年终奖', '节日福利', '五险一金', '工龄奖']","['C/C++', 'Java', 'Python']",16,3,1,1,0
高级测试工程师,8-10K,长沙,芙蓉区,东屯渡,5-10年,本科,"['员工旅游', '交通补助', '带薪年假', '定期体检', '团建聚餐', '餐补', '五险一金', '高温补贴', '零食下午茶', '餐饮补贴', '节日福利', '年终奖', '交通补贴']",[],8.0,10.0,1.0,9.0,5,10,5,本科,测试工程师,"['员工旅游', '交通补助', '带薪年假', '定期体检', '团建聚餐', '餐补', '五险一金', '高温补贴', '零食下午茶', '餐饮补贴', '节日福利', '年终奖', '交通补贴']",[],13,0,0,0,0
高级算法工程师/算法专家（新零售方向）,25-35K·14薪,长沙,芙蓉区,马王堆,5-10年,本科,"['五险一金', '团建聚餐', '年终奖', '带薪年假', '节日福利', '股票期权']","['深度学习', '大模型算法', '运筹优化算法', '大数据处理框架(Spark/Hadoop/Hive)', '销量预测模型搭建分析', '物流供应链算法优化', '人流数据开店选址分析', '订货', '销量预测']",25.0,35.0,1.1666666666666667,35.0,5,10,5,本科,AI/算法工程师,"['五险一金', '团建聚餐', '年终奖', '带薪年假', '节日福利', '股票期权']","['深度学习', '大模型算法', '运筹优化算法', '大数据处理框架(Spark/Hadoop/Hive)', '销量预测模型搭建分析', '物流供应链算法优化', '人流数据开店选址分析', '订货', '销量预测']",6,9,1,0,0
高级算法工程师（大模型/AI）,15-30K,长沙,,,3-5年,本科,"['定期体检', '年终奖', '带薪年假', '补充医疗保险', '节日福利', '通讯补贴', '交通补助', '意外险']","['大模型算法', '文本生成', '语音算法', 'C/C++', 'Python', '算法工程化经验']",15.0,30.0,1.0,22.5,3,5,5,本科,AI/算法工程师,"['定期体检', '年终奖', '带薪年假', '补充医疗保险', '节日福利', '通讯补贴', '交通补助', '意外险']","['大模型算法', '文本生成', '语音算法', 'C/C++', 'Python', '算法工程化经验']",8,6,1,1,0
软件开发工程师,20-40K·14薪,长沙,芙蓉区,韭菜园,经验不限,本科,"['团建聚餐', '绩效奖金', '年终奖', '免费班车', '五险一金', '节假日加班费', '股票期权', '保底工资', '交通补助', '意外险', '企业年金', '加班补助', '法定节假日三薪', '节日福利', '带薪年假', '员工旅游', '补充医疗保险', '夜班补助', '定期体检', '零食下午茶']","['C++', 'C']",20.0,40.0,1.1666666666666667,35.0,0,0,5,本科,开发工程师,"['团建聚餐', '绩效奖金', '年终奖', '免费班车', '五险一金', '节假日加班费', '股票期权', '保底工资', '交通补助', '意外险', '企业年金', '加班补助', '法定节假日三薪', '节日福利', '带薪年假', '员工旅游', '补充医疗保险', '夜班补助', '定期体检', '零食下午茶']","['C++', 'C']",20,2,0,0,0
云服务测试工程师,15-30K·14薪,长沙,芙蓉区,韭菜园,1-3年,本科,"['绩效奖金', '法定节假日三薪', '团建聚餐', '夜班补助', '年终奖', '免费班车', '生日福利', '员工旅游', '交通补助', '五险一金', '意外险', '节假日加班费', '零食下午茶', '加班补助', '住房补贴', '带薪年假', '节日福利', '定期体检', '保底工资', '补充医疗保险']","['功能测试', '性能测试', '自动化测试', 'C++', 'Python', 'Java', '测试工作经验']",15.0,30.0,1.1666666666666667,26.25,1,3,5,本科,测试工程师,"['绩效奖金', '法定节假日三薪', '团建聚餐', '夜班补助', '年终奖', '免费班车', '生日福利', '员工旅游', '交通补助', '五险一金', '意外险', '节假日加班费', '零食下午茶', '加班补助', '住房补贴', '带薪年假', '节日福利', '定期体检', '保底工资', '补充医疗保险']","['功能测试', '性能测试', '自动化测试', 'C++', 'Python', 'Java', '测试工作经验']",20,7,0,1,0
AI大模型算法工程师,20-30K·13薪,长沙,,,3-5年,硕士,"['通讯补贴', '年终奖', '补充医疗保险', '带薪年假', '意外险', '交通补助', '定期体检', '节日福利']","['大模型算法', '推荐算法', '搜索算法', '语音算法', '语义理解', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '算法工程化经验', '发表算法相关优秀论文', '优秀开源项目经历']",20.0,30.0,1.0833333333333333,27.083333333333332,3,5,6,硕士,AI/算法工程师,"['通讯补贴', '年终奖', '补充医疗保险', '带薪年假', '意外险', '交通补助', '定期体检', '节日福利']","['大模型算法', '推荐算法', '搜索算法', '语音算法', '语义理解', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '算法工程化经验', '发表算法相关优秀论文', '优秀开源项目经历']",8,10,1,1,0
Python模型工程师,7-10K,长沙,芙蓉区,马王堆,1-3年,本科,['社保'],"['Golang', 'C++', '爬虫经验', 'PyTorch', 'MySQL', '机器学习经验', 'Redis', '云计算经验', 'MongoDB', '量化交易开发经验', 'Python']",7.0,10.0,1.0,8.5,1,3,5,本科,开发工程师,['社保'],"['Golang', 'C++', '爬虫经验', 'PyTorch', 'MySQL', '机器学习经验', 'Redis', '云计算经验', 'MongoDB', '量化交易开发经验', 'Python']",1,11,0,1,0
